,ID,Gene,VF,Source_Organism
6212,>VFG041550(gb|WP_012907116),(ROD_RS14730) T3SS structural protein SepQ,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6213,>VFG041551(gb|WP_012907113),(ROD_RS14720) T3SS effector protein Map,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6214,>VFG041552(gb|WP_012907114),(ROD_RS14725) type III secretion system chaperone,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6215,>VFG041553(gb|WP_012907112),(tir) type III secretion system LEE translocated intimin receptor Tir,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6216,>VFG041554(gb|WP_012907111),(cesT) type III secretion system LEE chaperone CesT,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6217,>VFG041555(gb|WP_012907109),(sctD) type III secretion system inner membrane ring subunit SctD,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6218,>VFG041556(gb|WP_012907106),(sctE) type III secretion system translocon subunit SctE,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6219,>VFG041557(gb|WP_012907107),(espA) type III secretion system LEE translocon filament protein EspA,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6220,>VFG041558(gb|WP_012907108),(ROD_RS14680) TyeA family type III secretion system gatekeeper subunit,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6221,>VFG041559(gb|WP_012907105),(ROD_RS14665) attachment protein EaeB,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6222,>VFG041560(gb|WP_012907103),(sctF) type III secretion system needle filament subunit SctF,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6223,>VFG041561(gb|WP_012907104),(ROD_RS14660) hypothetical protein,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6224,>VFG041562(gb|WP_012907102),(ROD_RS14650) EscG/YscG/SsaH family type III secretion system needle protein co-chaperone,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6225,>VFG041563(gb|WP_012907101),(ROD_RS26460) type III secretion system LEE effector EspF,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6226,>VFG041564(gb|WP_148222142),(ROD_RS26455) secretion protein EspG,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6227,>VFG041565(gb|WP_012905902),(ROD_RS26105) T3SS effector NleG family protein,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6228,>VFG041566(gb|WP_148222082),(ROD_RS08205) M85 family metallopeptidase,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6229,>VFG041567(gb|WP_012905490),(espK) type III secretion system effector EspK,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6230,>VFG041568(gb|WP_012905489),(nleL) type III secretion system effector E3 ubiquitin ligase NleL,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6231,>VFG041569(gb|WP_012905390),(nleE) type III secretion system effector cysteine methyltransferase NleE,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6232,>VFG041570(gb|WP_012905389),(ROD_RS05475) type III secretion system effector arginine glycosyltransferase NleB,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6233,>VFG041571(gb|WP_012905236),(ROD_RS04625) phage tail assembly protein,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6234,>VFG041572(gb|WP_012905388),(ROD_RS05450) ShET2/EspL2 family type III secretion system effector toxin,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6235,>VFG041574(gb|WP_012904700),(ROD_RS01735) hypothetical protein,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6236,>VFG041576(gb|WP_012904699),(ROD_RS25785) hypothetical protein,T3SS (VF1262) - Effector delivery system (VFC0086),Citrobacter rodentium ICC168
6237,>VFG042679(gb|CAD56970),(fimA gene) major fimbrial subunit,Type 1 fimbriae (VF1211) - Adherence (VFC0001),Citrobacter freundii str. 3009
6238,>VFG042680(gb|CAD56971),(fimI gene) fimbrial protein,Type 1 fimbriae (VF1211) - Adherence (VFC0001),Citrobacter freundii str. 3009
6239,>VFG042681(gb|CAD56972),(fimC gene) fimbrial chaperone protein,Type 1 fimbriae (VF1211) - Adherence (VFC0001),Citrobacter freundii str. 3009
6240,>VFG042682(gb|CAD56973),(fimD gene) outer membrane usher protein,Type 1 fimbriae (VF1211) - Adherence (VFC0001),Citrobacter freundii str. 3009
6241,>VFG042683(gb|CAD56974),(fimH gene) fimbrial adhesin subunit,Type 1 fimbriae (VF1211) - Adherence (VFC0001),Citrobacter freundii str. 3009
6242,>VFG042684(gb|CAD56975),(fimF gene) major fimbrial subunit,Type 1 fimbriae (VF1211) - Adherence (VFC0001),Citrobacter freundii str. 3009
6243,>VFG042685(gb|CAD56976),(fimZ gene) putative regulatory protein,Type 1 fimbriae (VF1211) - Adherence (VFC0001),Citrobacter freundii str. 3009
6244,>VFG042686(gb|CAD56978),(fimY gene) regulatory protein,Type 1 fimbriae (VF1211) - Adherence (VFC0001),Citrobacter freundii str. 3009
6245,>VFG042687(gb|CAD56979),(fimW gene) regulatory protein,Type 1 fimbriae (VF1211) - Adherence (VFC0001),Citrobacter freundii str. 3009
6246,>VFG042688(gb|ADB25073),(mrkA) MrkA,Type 3 fimbriae (VF1208) - Adherence (VFC0001),Citrobacter freundii str. M46
6247,>VFG042689(gb|ADB25074),(mrkB) MrkB,Type 3 fimbriae (VF1208) - Adherence (VFC0001),Citrobacter freundii str. M46
6248,>VFG042690(gb|ADB25075),(mrkC) MrkC,Type 3 fimbriae (VF1208) - Adherence (VFC0001),Citrobacter freundii str. M46
6249,>VFG042691(gb|ADB25076),(mrkD) MrkD,Type 3 fimbriae (VF1208) - Adherence (VFC0001),Citrobacter freundii str. M46
6250,>VFG042692(gb|ADB25077),(mrkF) MrkF,Type 3 fimbriae (VF1208) - Adherence (VFC0001),Citrobacter freundii str. M46
6251,>VFG042719(gb|WP_012908071),(ROD_RS20340) fimbrial protein,Kfc fimbriae (VF1207) - Adherence (VFC0001),Citrobacter rodentium ICC168
6252,>VFG042720(gb|WP_012908072),(ROD_RS26800) fimbrial protein,Kfc fimbriae (VF1207) - Adherence (VFC0001),Citrobacter rodentium ICC168
6253,>VFG042721(gb|WP_012908073),(ROD_RS26805) fimbrial protein,Kfc fimbriae (VF1207) - Adherence (VFC0001),Citrobacter rodentium ICC168
6254,>VFG042722(gb|WP_012908074),(ROD_RS20345) fimbrial chaperone,Kfc fimbriae (VF1207) - Adherence (VFC0001),Citrobacter rodentium ICC168
6255,>VFG042723(gb|WP_012908075),(pefC) PefC/AfrB family outer membrane usher protein,Kfc fimbriae (VF1207) - Adherence (VFC0001),Citrobacter rodentium ICC168
6256,>VFG042724(gb|WP_012908076),(ROD_RS20355) fimbrial protein,Kfc fimbriae (VF1207) - Adherence (VFC0001),Citrobacter rodentium ICC168
6257,>VFG042895(gb|WP_148222149),(ROD_RS22960) type IV pilus major pilin,Colonization factor Citrobacter (CFC) type IV fimbriae (VF1209) - Adherence (VFC0001),Citrobacter rodentium ICC168
6258,>VFG042896(gb|WP_012908539),(ROD_RS22965) prepilin-type N-terminal cleavage/methylation domain-containing protein,Colonization factor Citrobacter (CFC) type IV fimbriae (VF1209) - Adherence (VFC0001),Citrobacter rodentium ICC168
6259,>VFG042897(gb|WP_167321453),(ROD_RS22970) TcpQ domain-containing protein,Colonization factor Citrobacter (CFC) type IV fimbriae (VF1209) - Adherence (VFC0001),Citrobacter rodentium ICC168
6260,>VFG042898(gb|WP_024133061),(ROD_RS28615) hypothetical protein,Colonization factor Citrobacter (CFC) type IV fimbriae (VF1209) - Adherence (VFC0001),Citrobacter rodentium ICC168
6261,>VFG042899(gb|WP_012908542),(ROD_RS22980) hypothetical protein,Colonization factor Citrobacter (CFC) type IV fimbriae (VF1209) - Adherence (VFC0001),Citrobacter rodentium ICC168
6262,>VFG042900(gb|WP_012908543),(ROD_RS22985) type IV pilus biogenesis protein,Colonization factor Citrobacter (CFC) type IV fimbriae (VF1209) - Adherence (VFC0001),Citrobacter rodentium ICC168
6263,>VFG042901(gb|WP_012908544),(ROD_RS22990) hypothetical protein,Colonization factor Citrobacter (CFC) type IV fimbriae (VF1209) - Adherence (VFC0001),Citrobacter rodentium ICC168
6264,>VFG042902(gb|WP_012908545),(tadA) Flp pilus assembly complex ATPase component TadA,Colonization factor Citrobacter (CFC) type IV fimbriae (VF1209) - Adherence (VFC0001),Citrobacter rodentium ICC168
6265,>VFG042903(gb|WP_012908546),(ROD_RS23000) type II secretion system F family protein,Colonization factor Citrobacter (CFC) type IV fimbriae (VF1209) - Adherence (VFC0001),Citrobacter rodentium ICC168
6266,>VFG042904(gb|WP_148222121),(ROD_RS23005) hypothetical protein,Colonization factor Citrobacter (CFC) type IV fimbriae (VF1209) - Adherence (VFC0001),Citrobacter rodentium ICC168
6267,>VFG042905(gb|WP_012908548),(ROD_RS23010) A24 family peptidase,Colonization factor Citrobacter (CFC) type IV fimbriae (VF1209) - Adherence (VFC0001),Citrobacter rodentium ICC168
6268,>VFG042906(gb|WP_012908549),(ROD_RS25695) M23 family metallopeptidase,Colonization factor Citrobacter (CFC) type IV fimbriae (VF1209) - Adherence (VFC0001),Citrobacter rodentium ICC168
6269,>VFG043582(gb|WP_012906815),(ROD_RS13050) DUF3491 domain-containing protein,LifA (VF1210) - Adherence (VFC0001),Citrobacter rodentium ICC168
6270,>VFG043761(gb|CAA47852),(slt-IIcA) shiga-like toxin,SLTII (VF1314) - Exotoxin (VFC0235),Citrobacter freundii str. LM76
6271,>VFG043762(gb|CAA47853),(slt-IIcB) shiga-like toxin,SLTII (VF1314) - Exotoxin (VFC0235),Citrobacter freundii str. LM76
6272,>VFG002274(gb|WP_011009584),(plc) phospholipase C,Alpha-toxin (CpPLC) (VF0378) - Exotoxin (VFC0235),Clostridium perfringens str. 13
6273,>VFG002275(gb|WP_003467630),(pfoA) perfringolysin O,Theta-toxin/PFO (VF0382) - Exotoxin (VFC0235),Clostridium perfringens str. 13
6274,>VFG002276(gb|WP_011009653),(colA) collagenase,Kappa-toxin (VF0388) - Exoenzyme (VFC0251),Clostridium perfringens str. 13
6275,>VFG002277(gb|WP_011009663),(nagH) hyaluronidase,Mu-toxin (VF0389) - Exoenzyme (VFC0251),Clostridium perfringens str. 13
6276,>VFG002278(gb|WP_011010095),(nagI) hyaluronidase,Mu-toxin (VF0389) - Exoenzyme (VFC0251),Clostridium perfringens str. 13
6277,>VFG002279(gb|WP_003467250),(nagJ) hyaluronidase,Mu-toxin (VF0389) - Exoenzyme (VFC0251),Clostridium perfringens str. 13
6278,>VFG002280(gb|WP_011010361),(nagK) hyaluronidase,Mu-toxin (VF0389) - Exoenzyme (VFC0251),Clostridium perfringens str. 13
6279,>VFG002281(gb|WP_003468301),(nagL) hyaluronidase,Mu-toxin (VF0389) - Exoenzyme (VFC0251),Clostridium perfringens str. 13
6280,>VFG002282(gb|WP_041707714),(cloSI) alpha-clostripain,Alpha-clostripain (VF0390) - Exoenzyme (VFC0251),Clostridium perfringens str. 13
6281,>VFG002283(gb|WP_011009995),(nanI) exo-alpha-sialidase,Sialidase (VF0391) - Exoenzyme (VFC0251),Clostridium perfringens str. 13
6282,>VFG002284(gb|WP_011009886),(nanJ) exo-alpha-sialidase,Sialidase (VF0391) - Exoenzyme (VFC0251),Clostridium perfringens str. 13
6283,>VFG002285(gb|WP_011590492),(nanH) sialidase,Sialidase (VF0391) - Exoenzyme (VFC0251),Clostridium perfringens ATCC 13124
6284,>VFG002286(gb|WP_003470007),(cpe) enterotoxin Cpe,CPE (VF0383) - Exotoxin (VFC0235),Clostridium perfringens SM101
6285,>VFG002287(gb|WP_011860904),(toxA) toxin A,TcdA (VF0376) - Exotoxin (VFC0235),Clostridium difficile 630
6286,>VFG002288(gb|WP_009902069),(toxB) toxin B,TcdB (VF0377) - Exotoxin (VFC0235),Clostridium difficile 630
6287,>VFG002289(gb|WP_011100836),(tetX) tetanus toxin tetX,TeNT (VF0374) - Exotoxin (VFC0235),Clostridium tetani E88
6288,>VFG002290(gb|WP_004456321),(cpb) beta toxin,Beta-toxin (CPB) (VF0379) - Exotoxin (VFC0235),Clostridium perfringens B str. ATCC 3626
6289,>VFG002291(gb|WP_003458888),(ext) epsilon-toxin,Epsilon-toxin (ETX) (VF0380) - Exotoxin (VFC0235),Clostridium perfringens str. NCTC 8533B4D
6290,>VFG002292(gb|CAA51959),(iap) iota toxin component Ia,Iota-toxin (VF0381) - Exotoxin (VFC0235),Clostridium perfringens E str. NCIB 10748
6291,>VFG002293(gb|CAA51960),(ibp) iota toxin component Ib,Iota-toxin (VF0381) - Exotoxin (VFC0235),Clostridium perfringens E str. NCIB 10748
6292,>VFG002296(gb|CAA41768),(C3bot1) C3 ADP-ribosyltransferase,C3 toxin (VF0387) - Exotoxin (VFC0235),Clostridium botulinum D str. 1873
6293,>VFG002298(gb|AAF81760),(cdtA) CdtA,CDT (VF0385) - Exotoxin (VFC0235),Clostridium difficile str. CCUG 20309
6294,>VFG002299(gb|AAF81761),(cdtB) CdtB,CDT (VF0385) - Exotoxin (VFC0235),Clostridium difficile str. CCUG 20309
6295,>VFG002300(gb|CAA88565),(tcnA) alpha-toxin,Alpha-toxin (novyi) (VF0386) - Exotoxin (VFC0235),Clostridium novyi str. ATCC19402
6296,>VFG012088(gb|WP_011861686),(slpA) cell surface protein (S-layer precursor protein),SlpA (VF0589) - Adherence (VFC0001),Clostridium difficile 630
6297,>VFG012089(gb|WP_011861682),(cwp66) cell wall-binding protein Cwp66,Cwp66 (VF0591) - Adherence (VFC0001),Clostridium difficile 630
6298,>VFG012090(gb|WP_011098808),(cwp66) cell wall-binding protein Cwp66,Cwp66 (VF0591) - Adherence (VFC0001),Clostridium tetani E88
6299,>VFG012091(gb|WP_011098796),(cwp66) cell wall-binding protein Cwp66,Cwp66 (VF0591) - Adherence (VFC0001),Clostridium tetani E88
6300,>VFG012092(gb|WP_011098807),(cwp66) cell wall-binding protein Cwp66,Cwp66 (VF0591) - Adherence (VFC0001),Clostridium tetani E88
6301,>VFG012093(gb|WP_011098810),(cwp66) cell wall-binding protein Cwp66,Cwp66 (VF0591) - Adherence (VFC0001),Clostridium tetani E88
6302,>VFG012094(gb|WP_035125490),(cwp66) cell wall-binding protein Cwp66,Cwp66 (VF0591) - Adherence (VFC0001),Clostridium tetani E88
6303,>VFG012095(gb|WP_003435012),(groEL) chaperonin GroEL,GroEL (VF0594) - Adherence (VFC0001),Clostridium difficile 630
6304,>VFG012096(gb|WP_011722916),(groEL) chaperonin GroEL,GroEL (VF0594) - Adherence (VFC0001),Clostridium novyi NT
6305,>VFG012097(gb|WP_003462314),(groEL) chaperonin GroEL,GroEL (VF0594) - Adherence (VFC0001),Clostridium perfringens str. 13
6306,>VFG012098(gb|WP_003454479),(groEL) chaperonin GroEL,GroEL (VF0594) - Adherence (VFC0001),Clostridium perfringens ATCC 13124
6307,>VFG012099(gb|WP_011100542),(groEL) chaperonin GroEL,GroEL (VF0594) - Adherence (VFC0001),Clostridium tetani E88
6308,>VFG012100(gb|WP_003357641),(groEL) chaperonin GroEL,GroEL (VF0594) - Adherence (VFC0001),Clostridium botulinum A str. ATCC 3502
6309,>VFG012101(gb|WP_010965990),(groEL) chaperonin GroEL,GroEL (VF0594) - Adherence (VFC0001),Clostridium acetobutylicum ATCC 824
6310,>VFG012102(gb|WP_011967678),(groEL) chaperonin GroEL,GroEL (VF0594) - Adherence (VFC0001),Clostridium beijerinckii NCIMB 8052
6311,>VFG012103(gb|WP_003514589),(groEL) chaperonin GroEL,GroEL (VF0594) - Adherence (VFC0001),Clostridium thermocellum ATCC 27405
6312,>VFG012104(gb|WP_011861612),(fbpA/fbp68) fibronectin-binding protein FbpA,FbpA/Fbp68 (VF0595) - Adherence (VFC0001),Clostridium difficile 630
6313,>VFG012105(gb|WP_011722031),(fbpA/fbp68) fibronectin-binding protein FbpA,FbpA/Fbp68 (VF0595) - Adherence (VFC0001),Clostridium novyi NT
6314,>VFG012106(gb|WP_011010639),(fbpA/fbp68) fibronectin-binding protein FbpA,FbpA/Fbp68 (VF0595) - Adherence (VFC0001),Clostridium perfringens str. 13
6315,>VFG012107(gb|WP_011590967),(fbpA/fbp68) fibronectin-binding protein FbpA,FbpA/Fbp68 (VF0595) - Adherence (VFC0001),Clostridium perfringens ATCC 13124
6316,>VFG012108(gb|WP_011592708),(fbpA/fbp68) fibronectin-binding protein FbpA,FbpA/Fbp68 (VF0595) - Adherence (VFC0001),Clostridium perfringens SM101
6317,>VFG012109(gb|WP_035109596),(fbpA/fbp68) fibronectin-binding protein FbpA,FbpA/Fbp68 (VF0595) - Adherence (VFC0001),Clostridium tetani E88
6318,>VFG012110(gb|WP_011986453),(fbpA/fbp68) fibronectin-binding protein FbpA,FbpA/Fbp68 (VF0595) - Adherence (VFC0001),Clostridium botulinum A str. ATCC 3502
6319,>VFG012111(gb|WP_010965410),(fbpA/fbp68) fibronectin-binding protein FbpA,FbpA/Fbp68 (VF0595) - Adherence (VFC0001),Clostridium acetobutylicum ATCC 824
6320,>VFG012112(gb|WP_011968925),(fbpA/fbp68) fibronectin-binding protein FbpA,FbpA/Fbp68 (VF0595) - Adherence (VFC0001),Clostridium beijerinckii NCIMB 8052
6321,>VFG012113(gb|WP_003520265),(fbpA/fbp68) fibronectin-binding protein FbpA,FbpA/Fbp68 (VF0595) - Adherence (VFC0001),Clostridium thermocellum ATCC 27405
6322,>VFG012114(gb|WP_004454925),(cdtA) CdtA,CDT (VF0385) - Exotoxin (VFC0235),Clostridium difficile 630
6323,>VFG012115,(cdtB) CdtB,CDT (VF0385) - Exotoxin (VFC0235),Clostridium difficile 630
6324,>VFG012118(gb|WP_011721097),(plc) phospholipase C,Alpha-toxin (CpPLC) (VF0378) - Exotoxin (VFC0235),Clostridium novyi NT
6325,>VFG012120(gb|WP_011590041),(plc) phospholipase C,Alpha-toxin (CpPLC) (VF0378) - Exotoxin (VFC0235),Clostridium perfringens ATCC 13124
6326,>VFG012121(gb|WP_011591220),(plc) phospholipase C,Alpha-toxin (CpPLC) (VF0378) - Exotoxin (VFC0235),Clostridium perfringens SM101
6327,>VFG012122(gb|WP_010968250),(cpb2) beta2-toxin,Beta2-toxin (VF0417) - Exotoxin (VFC0235),Clostridium perfringens str. 13
6328,>VFG012123(gb|WP_080965788),(pfoA) perfringolysin O,Theta-toxin/PFO (VF0382) - Exotoxin (VFC0235),Clostridium novyi NT
6329,>VFG012125(gb|WP_003462918),(pfoA) perfringolysin O,Theta-toxin/PFO (VF0382) - Exotoxin (VFC0235),Clostridium perfringens ATCC 13124
6330,>VFG012126(gb|WP_011100063),(pfoA) perfringolysin O,Theta-toxin/PFO (VF0382) - Exotoxin (VFC0235),Clostridium tetani E88
6331,>VFG012127(gb|WP_011721386),(colA) collagenase,Kappa-toxin (VF0388) - Exoenzyme (VFC0251),Clostridium novyi NT
6332,>VFG012129(gb|WP_011590092),(colA) collagenase,Kappa-toxin (VF0388) - Exoenzyme (VFC0251),Clostridium perfringens ATCC 13124
6333,>VFG012130(gb|WP_011591315),(colA) collagenase,Kappa-toxin (VF0388) - Exoenzyme (VFC0251),Clostridium perfringens SM101
6334,>VFG012131(gb|WP_011949152),(colA) collagenase,Kappa-toxin (VF0388) - Exoenzyme (VFC0251),Clostridium botulinum A str. ATCC 3502
6335,>VFG012133(gb|WP_011590096),(nagH) hyaluronidase,Mu-toxin (VF0389) - Exoenzyme (VFC0251),Clostridium perfringens ATCC 13124
6336,>VFG012135(gb|WP_011590415),(nagI) hyaluronidase,Mu-toxin (VF0389) - Exoenzyme (VFC0251),Clostridium perfringens ATCC 13124
6337,>VFG012137(gb|WP_003456570),(nagJ) hyaluronidase,Mu-toxin (VF0389) - Exoenzyme (VFC0251),Clostridium perfringens ATCC 13124
6338,>VFG012139(gb|WP_011590733),(nagK) hyaluronidase,Mu-toxin (VF0389) - Exoenzyme (VFC0251),Clostridium perfringens ATCC 13124
6339,>VFG012152(gb|WP_011721286),(cloSI) alpha-clostripain,Alpha-clostripain (VF0390) - Exoenzyme (VFC0251),Clostridium novyi NT
6340,>VFG012154(gb|WP_011590397),(cloSI) alpha-clostripain,Alpha-clostripain (VF0390) - Exoenzyme (VFC0251),Clostridium perfringens ATCC 13124
6341,>VFG012155(gb|WP_011591889),(cloSI) alpha-clostripain,Alpha-clostripain (VF0390) - Exoenzyme (VFC0251),Clostridium perfringens SM101
6342,>VFG012156(gb|WP_011986460),(cloSI) alpha-clostripain,Alpha-clostripain (VF0390) - Exoenzyme (VFC0251),Clostridium botulinum A str. ATCC 3502
6343,>VFG012158(gb|WP_011591929),(nanH) sialidase,Sialidase (VF0391) - Exoenzyme (VFC0251),Clostridium perfringens SM101
6344,>VFG012160(gb|WP_011590331),(nanI) exo-alpha-sialidase,Sialidase (VF0391) - Exoenzyme (VFC0251),Clostridium perfringens ATCC 13124
6345,>VFG012162(gb|WP_011590241),(nanJ) exo-alpha-sialidase,Sialidase (VF0391) - Exoenzyme (VFC0251),Clostridium perfringens ATCC 13124
6346,>VFG012191(gb|WP_011948511),"(bont) botulinum neurotoxin, BoNT",BoNT (VF0375) - Exotoxin (VFC0235),Clostridium botulinum A str. ATCC 3502
6347,>VFG012192(gb|WP_011010476),(virS) sensor histidine kinase,VirR/VirS two component system (VF0729) - Regulation (VFC0301),Clostridium perfringens str. 13
6348,>VFG012193(gb|WP_011590863),(virS) ATP-binding protein,VirR/VirS two component system (VF0729) - Regulation (VFC0301),Clostridium perfringens ATCC 13124
6349,>VFG012194(gb|WP_011592434),(virS) sensor histidine kinase,VirR/VirS two component system (VF0729) - Regulation (VFC0301),Clostridium perfringens SM101
6350,>VFG012195(gb|WP_003449818),(virR) LytTR family DNA-binding domain-containing protein,VirR/VirS two component system (VF0729) - Regulation (VFC0301),Clostridium perfringens str. 13
6351,>VFG012196(gb|WP_003449818),(virR) LytTR family DNA-binding domain-containing protein,VirR/VirS two component system (VF0729) - Regulation (VFC0301),Clostridium perfringens ATCC 13124
6352,>VFG012197(gb|WP_011592435),(virR) LytTR family DNA-binding domain-containing protein,VirR/VirS two component system (VF0729) - Regulation (VFC0301),Clostridium perfringens SM101
6353,>VFG019132(gb|WP_012343546),(groEL) chaperonin GroEL,GroEL (VF0594) - Adherence (VFC0001),Clostridium botulinum A3 str. Loch Maree
6354,>VFG019133(gb|WP_003357641),(groEL) chaperonin GroEL,GroEL (VF0594) - Adherence (VFC0001),Clostridium botulinum B1 str. Okra
6355,>VFG019134(gb|WP_012422966),(groEL) chaperonin GroEL,GroEL (VF0594) - Adherence (VFC0001),Clostridium botulinum B str. Eklund 17B
6356,>VFG019135(gb|WP_003357641),(groEL) chaperonin GroEL,GroEL (VF0594) - Adherence (VFC0001),Clostridium botulinum F str. Langeland
6357,>VFG019138(gb|WP_012342778),(fbpA/fbp68) fibronectin-binding protein FbpA,FbpA/Fbp68 (VF0595) - Adherence (VFC0001),Clostridium botulinum A3 str. Loch Maree
6358,>VFG019139(gb|WP_015957534),(fbpA/fbp68) fibronectin-binding protein FbpA,FbpA/Fbp68 (VF0595) - Adherence (VFC0001),Clostridium botulinum B1 str. Okra
6359,>VFG019140(gb|WP_012423869),(fbpA/fbp68) fibronectin-binding protein FbpA,FbpA/Fbp68 (VF0595) - Adherence (VFC0001),Clostridium botulinum B str. Eklund 17B
6360,>VFG019141(gb|WP_012099937),(fbpA/fbp68) fibronectin-binding protein FbpA,FbpA/Fbp68 (VF0595) - Adherence (VFC0001),Clostridium botulinum F str. Langeland
6361,>VFG019144(gb|WP_012343772),(colA) collagenase,Kappa-toxin (VF0388) - Exoenzyme (VFC0251),Clostridium botulinum A3 str. Loch Maree
6362,>VFG019145(gb|WP_003403838),(colA) collagenase,Kappa-toxin (VF0388) - Exoenzyme (VFC0251),Clostridium botulinum B1 str. Okra
6363,>VFG019146(gb|WP_012422789),(colA) collagenase,Kappa-toxin (VF0388) - Exoenzyme (VFC0251),Clostridium botulinum B str. Eklund 17B
6364,>VFG019147(gb|WP_012099711),(colA) collagenase,Kappa-toxin (VF0388) - Exoenzyme (VFC0251),Clostridium botulinum F str. Langeland
6365,>VFG019150(gb|WP_012343294),(cloSI) alpha-clostripain,Alpha-clostripain (VF0390) - Exoenzyme (VFC0251),Clostridium botulinum A3 str. Loch Maree
6366,>VFG019151(gb|WP_003402346),(cloSI) alpha-clostripain,Alpha-clostripain (VF0390) - Exoenzyme (VFC0251),Clostridium botulinum B1 str. Okra
6367,>VFG019152(gb|WP_012099943),(cloSI) alpha-clostripain,Alpha-clostripain (VF0390) - Exoenzyme (VFC0251),Clostridium botulinum F str. Langeland
6368,>VFG019177(gb|WP_012301031),"(bont) botulinum neurotoxin, BoNT",BoNT (VF0375) - Exotoxin (VFC0235),Clostridium botulinum A3 str. Loch Maree
6369,>VFG019178(gb|WP_012291519),"(bont) botulinum neurotoxin, BoNT",BoNT (VF0375) - Exotoxin (VFC0235),Clostridium botulinum B1 str. Okra
6370,>VFG019179(gb|WP_012431101),"(bont) botulinum neurotoxin, BoNT",BoNT (VF0375) - Exotoxin (VFC0235),Clostridium botulinum B str. Eklund 17B
6371,>VFG019180(gb|WP_011987710),"(bont) botulinum neurotoxin, BoNT",BoNT (VF0375) - Exotoxin (VFC0235),Clostridium botulinum F str. Langeland
6372,>VFG042830(gb|WP_003451114),(CPE_RS09090) type IV pilus twitching motility protein PilT,Type IV pili (VF0731) - Adherence (VFC0001),Clostridium perfringens str. 13
6373,>VFG042831(gb|WP_011010635),(CPE_RS09465) type II secretion system F family protein,Type IV pili (VF0731) - Adherence (VFC0001),Clostridium perfringens str. 13
6374,>VFG042832(gb|WP_011010636),(CPE_RS09470) GspE/PulE family protein,Type IV pili (VF0731) - Adherence (VFC0001),Clostridium perfringens str. 13
6375,>VFG042833(gb|WP_011010855),(CPE_RS11815) hypothetical protein,Type IV pili (VF0731) - Adherence (VFC0001),Clostridium perfringens str. 13
6376,>VFG042834(gb|WP_003454175),(CPE_RS11820) prepilin-type N-terminal cleavage/methylation domain-containing protein,Type IV pili (VF0731) - Adherence (VFC0001),Clostridium perfringens str. 13
6377,>VFG042835(gb|WP_003462275),(CPE_RS11825) type II secretion system GspH family protein,Type IV pili (VF0731) - Adherence (VFC0001),Clostridium perfringens str. 13
6378,>VFG042836(gb|WP_011010856),(CPE_RS11830) prepilin-type N-terminal cleavage/methylation domain-containing protein,Type IV pili (VF0731) - Adherence (VFC0001),Clostridium perfringens str. 13
6379,>VFG042837(gb|WP_011010857),(CPE_RS11835) hypothetical protein,Type IV pili (VF0731) - Adherence (VFC0001),Clostridium perfringens str. 13
6380,>VFG042838(gb|WP_011010858),(CPE_RS11840) PilN domain-containing protein,Type IV pili (VF0731) - Adherence (VFC0001),Clostridium perfringens str. 13
6381,>VFG042839(gb|WP_011010859),(pilM) pilus assembly protein PilM,Type IV pili (VF0731) - Adherence (VFC0001),Clostridium perfringens str. 13
6382,>VFG042840(gb|WP_011010860),(CPE_RS11850) prepilin-type N-terminal cleavage/methylation domain-containing protein,Type IV pili (VF0731) - Adherence (VFC0001),Clostridium perfringens str. 13
6383,>VFG042841(gb|WP_011010861),(CPE_RS11855) type II secretion system F family protein,Type IV pili (VF0731) - Adherence (VFC0001),Clostridium perfringens str. 13
