Entry	Entry Name	Gene Names	Gene Names (ordered locus)	Protein names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
Q9HZ59	HUTGL_PSEAE	PA3175	PA3175	Formimidoylglutamase (EC 3.5.3.8) (Formiminoglutamase) (Formiminoglutamate hydrolase)	GO:0006548; GO:0008783; GO:0019556; GO:0019557; GO:0030145; GO:0033389; GO:0050415	L-histidine catabolic process [GO:0006548]; L-histidine catabolic process to glutamate and formamide [GO:0019556]; L-histidine catabolic process to glutamate and formate [GO:0019557]; putrescine biosynthetic process from arginine, via agmatine [GO:0033389]	agmatinase activity [GO:0008783]; formimidoylglutamase activity [GO:0050415]; manganese ion binding [GO:0030145]	
Q9HZA6	FIMV_PSEAE	fimV PA3115	PA3115	Motility hub protein FimV	GO:0005886; GO:0015627; GO:0042834; GO:0044096		peptidoglycan binding [GO:0042834]	plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]; type IV pilus [GO:0044096]
Q9HZJ5	TOP1_PSEAE	topA PA3011	PA3011	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	GO:0003677; GO:0003917; GO:0005694; GO:0006265; GO:0007059; GO:0008270	chromosome segregation [GO:0007059]; DNA topological change [GO:0006265]	DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; zinc ion binding [GO:0008270]	chromosome [GO:0005694]
Q9I0I4	TLPQ_PSEAE	tlpQ PA2654	PA2654	Methyl-accepting chemotaxis protein TlpQ (TlpQ chemoreceptor)	GO:0005886; GO:0006935; GO:0007165	chemotaxis [GO:0006935]; signal transduction [GO:0007165]		plasma membrane [GO:0005886]
Q9I0J6	NUOG_PSEAE	nuoG PA2642	PA2642	NADH-quinone oxidoreductase subunit G (EC 7.1.1.-) (NADH dehydrogenase I subunit G) (NDH-1 subunit G)	GO:0008137; GO:0016020; GO:0016651; GO:0022904; GO:0042773; GO:0046872; GO:0048038; GO:0051537; GO:0051539	ATP synthesis coupled electron transport [GO:0042773]; respiratory electron transport chain [GO:0022904]	2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]; quinone binding [GO:0048038]	membrane [GO:0016020]
Q9I0M3	FTSK_PSEAE	ftsK PA2615	PA2615	DNA translocase FtsK	GO:0003677; GO:0005524; GO:0005886; GO:0007059; GO:0015616; GO:0051301; GO:0071236	cell division [GO:0051301]; cellular response to antibiotic [GO:0071236]; chromosome segregation [GO:0007059]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA translocase activity [GO:0015616]	plasma membrane [GO:0005886]
Q9I2F0	FAPC_PSEAE	fapC PA1954	PA1954	Functional amyloid subunit FapC (Amyloid-like fimbrin subunit FapC) (ALF subunit FapC) (Fibril amyloid subunit FapC)	GO:0005576; GO:0007155; GO:0009289; GO:1990000	amyloid fibril formation [GO:1990000]; cell adhesion [GO:0007155]		extracellular region [GO:0005576]; pilus [GO:0009289]
Q9I341	MTND_PSEAE	mtnD PA1684	PA1684	Acireductone dioxygenase (1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase) (DHK-MTPene dioxygenase) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD') (Fe-ARD) (EC 1.13.11.54) (Acireductone dioxygenase (Ni(2+)-requiring)) (ARD) (Ni-ARD) (EC 1.13.11.53)	GO:0005506; GO:0006555; GO:0010308; GO:0010309; GO:0016151; GO:0019284; GO:0019509	L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]; methionine metabolic process [GO:0006555]	acireductone dioxygenase (Ni2+-requiring) activity [GO:0010308]; acireductone dioxygenase [iron(II)-requiring] activity [GO:0010309]; iron ion binding [GO:0005506]; nickel cation binding [GO:0016151]	
Q9I3D1	DLDH2_PSEAE	lpdG PA1587	PA1587	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of 2-oxoglutarate dehydrogenase complex) (Glycine oxidation system L-factor) (LPD-GLC)	GO:0004148; GO:0005737; GO:0006103; GO:0050660; GO:0141115; GO:0141117	2-oxoglutarate metabolic process [GO:0006103]; symbiont-mediated suppression of host complement activation by inactivation of complement proteins [GO:0141115]; symbiont-mediated suppression of host complement activation by recruitment of complement control protein [GO:0141117]	dihydrolipoyl dehydrogenase (NADH) activity [GO:0004148]; flavin adenine dinucleotide binding [GO:0050660]	cytoplasm [GO:0005737]
Q9I426	CYOB_PSEAE	cyoB PA1318	PA1318	Cytochrome bo(3) ubiquinol oxidase subunit 1 (EC 7.1.1.3) (Cytochrome o ubiquinol oxidase subunit 1) (Cytochrome o subunit 1) (Oxidase bo(3) subunit 1) (Ubiquinol oxidase polypeptide I) (Ubiquinol oxidase subunit 1)	GO:0004129; GO:0005886; GO:0009060; GO:0009486; GO:0015990; GO:0016682; GO:0020037; GO:0022904; GO:0046872	aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]; respiratory electron transport chain [GO:0022904]	cytochrome bo3 ubiquinol oxidase activity [GO:0009486]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]	plasma membrane [GO:0005886]
Q9I476	4HYPE_PSEAE	PA1268	PA1268	4-hydroxyproline 2-epimerase (4Hyp 2-epimerase) (4HypE) (EC 5.1.1.8) (Hydroxyproline-2-epimerase) (PaHyPRE)	GO:0047580		4-hydroxyproline epimerase activity [GO:0047580]	
Q9I4W3	DAPA_PSEAE	dapA PA1010	PA1010	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	GO:0005829; GO:0008840; GO:0009089; GO:0019877	diaminopimelate biosynthetic process [GO:0019877]; L-lysine biosynthetic process via diaminopimelate [GO:0009089]	4-hydroxy-tetrahydrodipicolinate synthase activity [GO:0008840]	cytosol [GO:0005829]
Q9I589	CBPD_PSEAE	cbpD lasD PA0852	PA0852	Chitin-binding protein CbpD (Protease LasD)	GO:0005615; GO:0008061; GO:0015628; GO:0043952	protein secretion by the type II secretion system [GO:0015628]; protein transport by the Sec complex [GO:0043952]	chitin binding [GO:0008061]	extracellular space [GO:0005615]
Q9I5N9	HXCR_PSEAE	hxcR PA0686	PA0686	Type II secretion system protein HxcR (EC 7.4.2.8)	GO:0005524; GO:0005737; GO:0005886; GO:0008564; GO:0015627; GO:0015628; GO:0016887	protein secretion by the type II secretion system [GO:0015628]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; protein-exporting ATPase activity [GO:0008564]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]
Q9I5Q5	ANMK_PSEAE	anmK PA0666	PA0666	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	GO:0005524; GO:0006040; GO:0009254; GO:0016301; GO:0016773; GO:0046677; GO:0097175	1,6-anhydro-N-acetyl-beta-muramic acid catabolic process [GO:0097175]; amino sugar metabolic process [GO:0006040]; peptidoglycan turnover [GO:0009254]; response to antibiotic [GO:0046677]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]	
Q9I5U4	PDXA_PSEAE	pdxA PA0593	PA0593	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	GO:0000287; GO:0005737; GO:0008270; GO:0008615; GO:0042823; GO:0050570; GO:0050897; GO:0051287	pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]	4-hydroxythreonine-4-phosphate dehydrogenase activity [GO:0050570]; cobalt ion binding [GO:0050897]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]
Q9I788	EXOT_PSEAE	exoT PA0044	PA0044	Exoenzyme T [Includes: GTPase-activating protein (GAP); ADP-ribosyltransferase (ADPRT) (EC 2.4.2.31)]	GO:0005096; GO:0005576; GO:0016779; GO:0090729; GO:0106274; GO:0141029	symbiont-mediated disruption of host focal adhesion [GO:0141029]	GTPase activator activity [GO:0005096]; NAD+-protein-arginine ADP-ribosyltransferase activity [GO:0106274]; nucleotidyltransferase activity [GO:0016779]; toxin activity [GO:0090729]	extracellular region [GO:0005576]
Q9L7T2	FPG_PSEAE	mutM fpg PA0357	PA0357	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	GO:0003684; GO:0003906; GO:0006281; GO:0006284; GO:0008270; GO:0016787; GO:0034039; GO:0140078	base-excision repair [GO:0006284]; DNA repair [GO:0006281]	8-oxo-7,8-dihydroguanine DNA N-glycosylase activity [GO:0034039]; class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; damaged DNA binding [GO:0003684]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; hydrolase activity [GO:0016787]; zinc ion binding [GO:0008270]	
G3XDA1	EXOS_PSEAE	exoS PA3841	PA3841	Secreted exoenzyme S [Includes: GTPase-activating protein (GAP); ADP-ribosyltransferase (ADPRT) (EC 2.4.2.31)]	GO:0005096; GO:0005576; GO:0016779; GO:0090729; GO:0106274		GTPase activator activity [GO:0005096]; NAD+-protein-arginine ADP-ribosyltransferase activity [GO:0106274]; nucleotidyltransferase activity [GO:0016779]; toxin activity [GO:0090729]	extracellular region [GO:0005576]
O50175	ASTB_PSEAE	astB aruB PA0899	PA0899	N-succinylarginine dihydrolase (EC 3.5.3.23)	GO:0006527; GO:0009015; GO:0019544; GO:0019545	L-arginine catabolic process [GO:0006527]; L-arginine catabolic process to L-glutamate [GO:0019544]; L-arginine catabolic process to succinate [GO:0019545]	N-succinylarginine dihydrolase activity [GO:0009015]	
O68822	AMPA_PSEAE	pepA phpA PA3831	PA3831	Cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	GO:0004177; GO:0005737; GO:0006508; GO:0016070; GO:0030145; GO:0070006	proteolysis [GO:0006508]; RNA metabolic process [GO:0016070]	aminopeptidase activity [GO:0004177]; manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]	cytoplasm [GO:0005737]
P05695	PORP_PSEAE	oprP PA3279	PA3279	Porin P (Outer membrane protein D1)	GO:0006811; GO:0009279; GO:0015288; GO:0046930	monoatomic ion transport [GO:0006811]	porin activity [GO:0015288]	cell outer membrane [GO:0009279]; pore complex [GO:0046930]
P07344	TRPA_PSEAE	trpA PA0035	PA0035	Tryptophan synthase alpha chain (EC 4.2.1.20)	GO:0000162; GO:0004834; GO:0005829	L-tryptophan biosynthetic process [GO:0000162]	tryptophan synthase activity [GO:0004834]	cytosol [GO:0005829]
P0DP44	PPK1_PSEAE	ppk PA5242	PA5242	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	GO:0005524; GO:0006799; GO:0008976; GO:0009358; GO:0016020; GO:0046872	polyphosphate biosynthetic process [GO:0006799]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; polyphosphate kinase activity [GO:0008976]	membrane [GO:0016020]; polyphosphate kinase complex [GO:0009358]
P15713	PHLN_PSEAE	plcN PA3319	PA3319	Non-hemolytic phospholipase C (EC 3.1.4.3) (PLC-N) (Phosphatidylcholine cholinephosphohydrolase) (Phosphatidylcholine-hydrolyzing phospholipase C) (PC-PLC)	GO:0015628; GO:0016042; GO:0016298; GO:0034480	lipid catabolic process [GO:0016042]; protein secretion by the type II secretion system [GO:0015628]	lipase activity [GO:0016298]; phosphatidylcholine phospholipase C activity [GO:0034480]	
P21482	DSBB1_PSEAE	dsbB1 PA5256	PA5256	Disulfide bond formation protein B 1 (Disulfide oxidoreductase 1)	GO:0005886; GO:0006457; GO:0009055; GO:0015035	protein folding [GO:0006457]	electron transfer activity [GO:0009055]; protein-disulfide reductase activity [GO:0015035]	plasma membrane [GO:0005886]
P23189	GSHR_PSEAE	gor PA2025	PA2025	Glutathione reductase (GR) (GRase) (EC 1.8.1.7)	GO:0004362; GO:0004791; GO:0005737; GO:0045454; GO:0050660	cell redox homeostasis [GO:0045454]	flavin adenine dinucleotide binding [GO:0050660]; glutathione-disulfide reductase (NADPH) activity [GO:0004362]; thioredoxin-disulfide reductase (NADPH) activity [GO:0004791]	cytoplasm [GO:0005737]
