Entry	Entry Name	Gene Names	Gene Names (ordered locus)	Protein names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
Q59650	MURE_PSEAE	murE PA4417	PA4417	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	GO:0000287; GO:0005524; GO:0005829; GO:0008360; GO:0008765; GO:0009252; GO:0051301; GO:0071555	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity [GO:0008765]	cytosol [GO:0005829]
Q9HTD7	ASPA_PSEAE	aspA PA5429	PA5429	Aspartate ammonia-lyase (Aspartase) (EC 4.3.1.1) (PA-AspA)	GO:0005829; GO:0006099; GO:0006531; GO:0008797; GO:0045548	aspartate metabolic process [GO:0006531]; tricarboxylic acid cycle [GO:0006099]	aspartate ammonia-lyase activity [GO:0008797]; phenylalanine ammonia-lyase activity [GO:0045548]	cytosol [GO:0005829]
Q9HTF4	GBMOO_PSEAE	gbcA PA5410	PA5410	Glycine betaine monooxygenase oxygenase subunit (EC 1.14.13.251) (Glycine betaine catabolism A)	GO:0004497; GO:0005506; GO:0031457; GO:0051537	glycine betaine catabolic process [GO:0031457]	2 iron, 2 sulfur cluster binding [GO:0051537]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]	
Q9HUJ8	PARE_PSEAE	parE PA4967	PA4967	DNA topoisomerase 4 subunit B (EC 5.6.2.2) (Topoisomerase IV subunit B)	GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0006265; GO:0007059; GO:0009340; GO:0046872	chromosome segregation [GO:0007059]; DNA topological change [GO:0006265]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; metal ion binding [GO:0046872]	chromosome [GO:0005694]; DNA topoisomerase IV complex [GO:0009340]
Q9HUN4	ALR1_PSEAE	alr PA4930	PA4930	Alanine racemase, biosynthetic (EC 5.1.1.1)	GO:0005829; GO:0008360; GO:0008784; GO:0009252; GO:0030170; GO:0030632; GO:0071555	cell wall organization [GO:0071555]; D-alanine biosynthetic process [GO:0030632]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	alanine racemase activity [GO:0008784]; pyridoxal phosphate binding [GO:0030170]	cytosol [GO:0005829]
Q9HVI1	CDGBP_PSEAE	PA4608	PA4608	Cyclic diguanosine monophosphate-binding protein PA4608 (c-di-GMP-binding protein PA4608) (Pilz domain-containing protein PA4608)	GO:0035438		cyclic-di-GMP binding [GO:0035438]	
Q9HWA7	PPRA_PSEAE	pprA PA4293	PA4293	Two-component sensor PprA (EC 2.7.13.3)	GO:0000155; GO:0005524; GO:0007165	signal transduction [GO:0007165]	ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]	
Q9HY63	ARNA_PSEAE	arnA PA3554	PA3554	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	GO:0009103; GO:0009245; GO:0016020; GO:0016831; GO:0046677; GO:0099618; GO:0099619	lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; response to antibiotic [GO:0046677]	carboxy-lyase activity [GO:0016831]; UDP-4-amino-4-deoxy-L-arabinose formyltransferase activity [GO:0099619]; UDP-glucuronate dehydrogenase activity [GO:0099618]	membrane [GO:0016020]
Q9HZX3	TGPA_PSEAE	tgpA PA2873	PA2873	Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase protein A) (TGase A)	GO:0003810; GO:0005886		protein-glutamine gamma-glutamyltransferase activity [GO:0003810]	plasma membrane [GO:0005886]
Q9I055	MCPN_PSEAE	mcpN PA2788	PA2788	Methyl-accepting chemotaxis protein McpN	GO:0005886; GO:0006935; GO:0007165	chemotaxis [GO:0006935]; signal transduction [GO:0007165]		plasma membrane [GO:0005886]
Q9I0H4	HMP_PSEAE	hmp fhp PA2664	PA2664	Flavohemoprotein (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD) (EC 1.14.12.17)	GO:0005344; GO:0005737; GO:0008941; GO:0009636; GO:0019825; GO:0020037; GO:0046210; GO:0046872; GO:0071500; GO:0071949	cellular response to nitrosative stress [GO:0071500]; nitric oxide catabolic process [GO:0046210]; response to toxic substance [GO:0009636]	FAD binding [GO:0071949]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; nitric oxide dioxygenase NAD(P)H activity [GO:0008941]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]	cytoplasm [GO:0005737]
Q9I0M7	CYSG_PSEAE	cysG PA2611	PA2611	Siroheme synthase [Includes: Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM); Precorrin-2 dehydrogenase (EC 1.3.1.76); Sirohydrochlorin ferrochelatase (EC 4.99.1.4)]	GO:0004851; GO:0009236; GO:0019354; GO:0032259; GO:0043115; GO:0051266; GO:0051287	cobalamin biosynthetic process [GO:0009236]; methylation [GO:0032259]; siroheme biosynthetic process [GO:0019354]	NAD binding [GO:0051287]; precorrin-2 dehydrogenase activity [GO:0043115]; sirohydrochlorin ferrochelatase activity [GO:0051266]; uroporphyrin-III C-methyltransferase activity [GO:0004851]	
Q9I0Y7	OPRN_PSEAE	oprN PA2495	PA2495	Outer membrane protein OprN (Multidrug efflux outer membrane protein OprN)	GO:0009279; GO:0015562; GO:0016020; GO:0022857; GO:0055085	transmembrane transport [GO:0055085]	efflux transmembrane transporter activity [GO:0015562]; transmembrane transporter activity [GO:0022857]	cell outer membrane [GO:0009279]; membrane [GO:0016020]
Q9I1L4	PVCB_PSEAE	pvcB PA2255	PA2255	Tyrosine isonitrile desaturase (EC 1.14.20.9) (PaPvcB) (Paerucumarin biosynthesis protein PvcB)	GO:0016706; GO:0046872		2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; metal ion binding [GO:0046872]	
Q9I1M0	ODB2_PSEAE	bkdB PA2249	PA2249	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168) (Branched-chain alpha-keto acid dehydrogenase complex component E2) (BCKAD-E2) (BCKADE2) (Dihydrolipoamide acetyltransferase component of branched-chain alpha-keto acid dehydrogenase complex) (Dihydrolipoamide branched chain transacylase) (Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase)	GO:0043754		dihydrolipoamide branched chain acyltransferase activity [GO:0043754]	
Q9I2C5	CY550_PSEAE	exaB PA1983	PA1983	Cytochrome c550	GO:0009055; GO:0020037; GO:0042597; GO:0046872		electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	periplasmic space [GO:0042597]
Q9I2E2	AZOR2_PSEAE	azoR2 PA1962	PA1962	FMN-dependent NADH:quinone oxidoreductase 2 (EC 1.6.5.-) (Azo-dye reductase 2) (FMN-dependent NADH-azo compound oxidoreductase 2) (FMN-dependent NADH-azoreductase 2) (EC 1.7.1.17)	GO:0009055; GO:0010181; GO:0016652; GO:0016655		electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; oxidoreductase activity, acting on NAD(P)H as acceptor [GO:0016652]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]	
Q9I2F2	FAPE_PSEAE	fapE PA1952	PA1952	Functional amyloid subunit FapE (Fibril amyloid subunit FapE)	GO:0005576; GO:0007155; GO:0009289; GO:1990000	amyloid fibril formation [GO:1990000]; cell adhesion [GO:0007155]		extracellular region [GO:0005576]; pilus [GO:0009289]
Q9I2Q1	TSE1_PSEAE	tse1 PA1844	PA1844	Peptidoglycan amidase Tse1 (EC 3.4.19.11) (Type VI secretion exported 1)	GO:0004040; GO:0005576; GO:0033644		amidase activity [GO:0004040]	extracellular region [GO:0005576]; host cell membrane [GO:0033644]
Q9I2U1	CLPP1_PSEAE	clpP1 PA1801	PA1801	ATP-dependent Clp protease proteolytic subunit 1 (EC 3.4.21.92) (Endopeptidase Clp 1)	GO:0004176; GO:0004252; GO:0005737; GO:0006515; GO:0009368; GO:0044010; GO:0044011; GO:0051117; GO:0071236; GO:0071978	bacterial-type flagellum-dependent swarming motility [GO:0071978]; cellular response to antibiotic [GO:0071236]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; single-species biofilm formation [GO:0044010]; single-species biofilm formation on inanimate substrate [GO:0044011]	ATP-dependent peptidase activity [GO:0004176]; ATPase binding [GO:0051117]; serine-type endopeptidase activity [GO:0004252]	cytoplasm [GO:0005737]; endopeptidase Clp complex [GO:0009368]
Q9I322	EXSE_PSEAE	exsE PA1711	PA1711	Type III secretion regulatory protein ExsE	GO:0005576; GO:0005737; GO:0030254; GO:0050709; GO:0051087; GO:0071277	cellular response to calcium ion [GO:0071277]; negative regulation of protein secretion [GO:0050709]; protein secretion by the type III secretion system [GO:0030254]	protein-folding chaperone binding [GO:0051087]	cytoplasm [GO:0005737]; extracellular region [GO:0005576]
Q9I3N5	CCMC_PSEAE	ccmC PA1477	PA1477	Heme exporter protein C (Cytochrome c-type biogenesis protein CcmC)	GO:0002049; GO:0004096; GO:0005886; GO:0009247; GO:0015232; GO:0017004; GO:0020037; GO:0043107; GO:0071977; GO:0071978	bacterial-type flagellum-dependent swarming motility [GO:0071978]; bacterial-type flagellum-dependent swimming motility [GO:0071977]; cytochrome complex assembly [GO:0017004]; glycolipid biosynthetic process [GO:0009247]; pyoverdine biosynthetic process [GO:0002049]; type IV pilus-dependent motility [GO:0043107]	catalase activity [GO:0004096]; heme binding [GO:0020037]; heme transmembrane transporter activity [GO:0015232]	plasma membrane [GO:0005886]
Q9I4K6	FOSA_PSEAE	fosA PA1129	PA1129	Glutathione transferase FosA (EC 2.5.1.18) (Fosfomycin resistance protein)	GO:0004364; GO:0005737; GO:0046677; GO:0046872	response to antibiotic [GO:0046677]	glutathione transferase activity [GO:0004364]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]
Q9I4U2	QUIP_PSEAE	quiP PA1032	PA1032	Acyl-homoserine lactone acylase QuiP (AHL acylase QuiP) (Acyl-HSL acylase QuiP) (EC 3.5.1.97) (Quorum signal utilization and inactivation protein) [Cleaved into: Acyl-homoserine lactone acylase QuiP subunit alpha (Acyl-HSL acylase QuiP subunit alpha); Acyl-homoserine lactone acylase QuiP subunit beta (Acyl-HSL acylase QuiP subunit beta)]	GO:0009372; GO:0016811; GO:0017000; GO:0042597	antibiotic biosynthetic process [GO:0017000]; quorum sensing [GO:0009372]	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]	periplasmic space [GO:0042597]
Q9I6P6	DSD_PSEAE	quiC1 PA0242	PA0242	3-dehydroshikimate dehydratase (DSD) (EC 4.2.1.118)	GO:0019631; GO:0019633; GO:0046279; GO:0046565; GO:0046872	3,4-dihydroxybenzoate biosynthetic process [GO:0046279]; quinate catabolic process [GO:0019631]; shikimate catabolic process [GO:0019633]	3-dehydroshikimate dehydratase activity [GO:0046565]; metal ion binding [GO:0046872]	
Q9I739	TSE6_PSEAE	tse6 PA0093	PA0093	NAD(P)(+) glycohydrolase toxin Tse6 (EC 3.2.2.5)	GO:0003953; GO:0016020; GO:0033103; GO:0050135; GO:0097351	protein secretion by the type VI secretion system [GO:0033103]	NAD+ nucleosidase activity [GO:0003953]; NADP+ nucleosidase activity [GO:0050135]; toxin sequestering activity [GO:0097351]	membrane [GO:0016020]
Q9I7C0	GMHBB_PSEAE	gmhB PA0006	PA0006	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)	GO:0000287; GO:0005829; GO:0008270; GO:0009103; GO:0009244; GO:0034200; GO:0097171	ADP-L-glycero-beta-D-manno-heptose biosynthetic process [GO:0097171]; lipopolysaccharide biosynthetic process [GO:0009103]; lipopolysaccharide core region biosynthetic process [GO:0009244]	D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase activity [GO:0034200]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]
Q9I7C1	PLSC_PSEAE	lptA PA0005	PA0005	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-AGP acyltransferase) (1-AGPAT) (EC 2.3.1.51) (Lysophosphatidic acid acyltransferase A) (LPA acyltransferase) (LPAAT)	GO:0003841; GO:0005886; GO:0006654; GO:0008654; GO:0016024; GO:0042171	CDP-diacylglycerol biosynthetic process [GO:0016024]; phosphatidic acid biosynthetic process [GO:0006654]; phospholipid biosynthetic process [GO:0008654]	1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; lysophosphatidic acid acyltransferase activity [GO:0042171]	plasma membrane [GO:0005886]
Q9ZFK4	KDSA_PSEAE	kdsA PA3636	PA3636	2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase)	GO:0005829; GO:0008676; GO:0009103; GO:0009276; GO:0015976; GO:0016020; GO:0019294; GO:0036104	carbon utilization [GO:0015976]; Kdo2-lipid A biosynthetic process [GO:0036104]; keto-3-deoxy-D-manno-octulosonic acid biosynthetic process [GO:0019294]; lipopolysaccharide biosynthetic process [GO:0009103]	3-deoxy-8-phosphooctulonate synthase activity [GO:0008676]	cytosol [GO:0005829]; Gram-negative-bacterium-type cell wall [GO:0009276]; membrane [GO:0016020]
Q9ZIH2	CMAX_PSEAE	cmaX zntB PA1773	PA1773	Divalent cation transporter CmaX	GO:0005886; GO:0006824; GO:0006829; GO:0015675; GO:0046873	cobalt ion transport [GO:0006824]; nickel cation transport [GO:0015675]; zinc ion transport [GO:0006829]	metal ion transmembrane transporter activity [GO:0046873]	plasma membrane [GO:0005886]
G3XCV2	PCHE_PSEAE	pchE PA4226	PA4226	Pyochelin synthetase PchE (EC 6.2.1.69) (L-cysteine--[L-cysteinyl-carrier protein] ligase) (Nonribosomal peptide synthetase PchE)	GO:0016874; GO:0017000; GO:0031177; GO:0044550; GO:0072330	antibiotic biosynthetic process [GO:0017000]; monocarboxylic acid biosynthetic process [GO:0072330]; secondary metabolite biosynthetic process [GO:0044550]	ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]	
G3XD12	HCNC_PSEAE	hcnC PA2195	PA2195	Hydrogen cyanide synthase subunit HcnC (HcnC) (EC 1.4.99.5) (Glycine dehydrogenase (cyanide-forming))	GO:0005737; GO:0005886; GO:0050622		glycine dehydrogenase (cyanide-forming) activity [GO:0050622]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
G3XD25	MEXC_PSEAE	mexC PA4599	PA4599	Multidrug efflux pump subunit MexC (Membrane fusion protein MexC) (MexCD-OprJ multidrug efflux pump subunit MexC)	GO:0005886; GO:0022857; GO:0046677	response to antibiotic [GO:0046677]	transmembrane transporter activity [GO:0022857]	plasma membrane [GO:0005886]
G3XD64	FLEN_PSEAE	fleN PA1454	PA1454	Antiactivator FleN	GO:0005524; GO:0005829; GO:0009898; GO:0016887		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]
P14165	CISY_PSEAE	gltA PA1580	PA1580	Citrate synthase (EC 2.3.3.16)	GO:0005829; GO:0006099; GO:0036440	tricarboxylic acid cycle [GO:0006099]	citrate synthase activity [GO:0036440]	cytosol [GO:0005829]
P25060	GSPL_PSEAE	xcpY PA3096	PA3096	Type II secretion system protein L (T2SS protein L) (General secretion pathway protein L)	GO:0005886; GO:0009276; GO:0015627; GO:0015628	protein secretion by the type II secretion system [GO:0015628]		Gram-negative-bacterium-type cell wall [GO:0009276]; plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]
P53652	SODM_PSEAE	sodA PA4468	PA4468	Superoxide dismutase [Mn] (EC 1.15.1.1)	GO:0004784; GO:0005737; GO:0019430; GO:0030145	removal of superoxide radicals [GO:0019430]	manganese ion binding [GO:0030145]; superoxide dismutase activity [GO:0004784]	cytoplasm [GO:0005737]
Q51368	TONB_PSEAE	tonB PA5531	PA5531	Protein TonB	GO:0015031; GO:0015891; GO:0030288; GO:0031992; GO:0033212; GO:0043107; GO:0044010; GO:0055085; GO:0071236; GO:0071978; GO:0098797	bacterial-type flagellum-dependent swarming motility [GO:0071978]; cellular response to antibiotic [GO:0071236]; iron import into cell [GO:0033212]; protein transport [GO:0015031]; siderophore transport [GO:0015891]; single-species biofilm formation [GO:0044010]; transmembrane transport [GO:0055085]; type IV pilus-dependent motility [GO:0043107]	energy transducer activity [GO:0031992]	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane protein complex [GO:0098797]
Q51426	RUVB_PSEAE	ruvB PA0967	PA0967	Holliday junction branch migration complex subunit RuvB (EC 3.6.4.-)	GO:0000400; GO:0000725; GO:0005524; GO:0005737; GO:0006281; GO:0009378; GO:0009379; GO:0009432; GO:0016887; GO:0048476; GO:0071247; GO:0072715	cellular response to chromate [GO:0071247]; cellular response to selenite ion [GO:0072715]; DNA repair [GO:0006281]; recombinational repair [GO:0000725]; SOS response [GO:0009432]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; four-way junction DNA binding [GO:0000400]; four-way junction helicase activity [GO:0009378]	cytoplasm [GO:0005737]; Holliday junction helicase complex [GO:0009379]; Holliday junction resolvase complex [GO:0048476]
Q51559	RHLA_PSEAE	rhlA PA3479	PA3479	3-(3-hydroxydecanoyloxy)decanoate synthase (EC 2.3.1.-)	GO:0009102; GO:0016020; GO:0016746; GO:0090499; GO:0106236	biotin biosynthetic process [GO:0009102]; rhamnolipid biosynthesis [GO:0106236]	acyltransferase activity [GO:0016746]; pimelyl-[acyl-carrier protein] methyl ester esterase activity [GO:0090499]	membrane [GO:0016020]
Q51567	SUCD_PSEAE	sucD PA1589	PA1589	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	GO:0000166; GO:0004550; GO:0004775; GO:0004776; GO:0006099; GO:0009142; GO:0009361; GO:0042709	nucleoside triphosphate biosynthetic process [GO:0009142]; tricarboxylic acid cycle [GO:0006099]	nucleoside diphosphate kinase activity [GO:0004550]; nucleotide binding [GO:0000166]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; succinate-CoA ligase (GDP-forming) activity [GO:0004776]	succinate-CoA ligase complex [GO:0042709]; succinate-CoA ligase complex (ADP-forming) [GO:0009361]
Q9HTF3	GBMOR_PSEAE	gbcB PA5411	PA5411	Glycine betaine monooxygenase reductase subunit (EC 1.14.13.251) (Glycine betaine catabolism B)	GO:0004497; GO:0016491; GO:0031457; GO:0046872; GO:0051537	glycine betaine catabolic process [GO:0031457]	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; monooxygenase activity [GO:0004497]; oxidoreductase activity [GO:0016491]	
Q9HUH4	Y4991_PSEAE	PA4991	PA4991	Probable FAD-dependent oxidoreductase PA4991 (EC 1.-.-.-)	GO:0005737; GO:0016491; GO:0071949		FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]	cytoplasm [GO:0005737]
Q9HUI3	ARUS_PSEAE	aruS PA4982	PA4982	Sensor histidine kinase AruS (EC 2.7.13.3)	GO:0000155; GO:0005524; GO:0005886; GO:0006527	L-arginine catabolic process [GO:0006527]	ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]	plasma membrane [GO:0005886]
Q9HWG4	PCHF_PSEAE	pchF PA4225	PA4225	Pyochelin synthetase PchF (EC 6.2.1.69) (L-cysteine--[L-cysteinyl-carrier protein] ligase) (Nonribosomal peptide synthetase PchF)	GO:0005737; GO:0009403; GO:0016874; GO:0031177; GO:0043041; GO:0044550; GO:0072330	amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; monocarboxylic acid biosynthetic process [GO:0072330]; secondary metabolite biosynthetic process [GO:0044550]; toxin biosynthetic process [GO:0009403]	ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]	cytoplasm [GO:0005737]
Q9HWG9	PHZS_PSEAE	phzS PA4217	PA4217	5-methylphenazine-1-carboxylate 1-monooxygenase (EC 1.14.13.218)	GO:0004497; GO:0071949; GO:0102169		5-methylphenazine-1-carboxylate 1-monooxygenase (NADH) activity [GO:0102169]; FAD binding [GO:0071949]; monooxygenase activity [GO:0004497]	
Q9HWH9	NMO_PSEAE	nmoA PA4202	PA4202	Nitronate monooxygenase (NMO) (EC 1.13.12.-) (Propionate 3-nitronate monooxygenase) (P3N monooxygenase)	GO:0000166; GO:0009636; GO:0018580	response to toxic substance [GO:0009636]	nitronate monooxygenase activity [GO:0018580]; nucleotide binding [GO:0000166]	
Q9HWT7	HPAB_PSEAE	hpaB hpaA PA4091	PA4091	4-hydroxyphenylacetate 3-monooxygenase oxygenase component (HPA 3-monooxygenase oxygenase component) (EC 1.14.14.9) (p-hydroxyphenylacetate 3-hydroxylase large component) (HPAH large component)	GO:0010124; GO:0016627; GO:0042803; GO:0050660; GO:0052881	phenylacetate catabolic process [GO:0010124]	4-hydroxyphenylacetate 3-monooxygenase activity [GO:0052881]; flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; protein homodimerization activity [GO:0042803]	
Q9HYK7	FENR_PSEAE	fpr PA3397	PA3397	Ferredoxin--NADP reductase (FNR) (EC 1.18.1.2) (Ferredoxin--NADP(+) reductase) (FPR)	GO:0000166; GO:0004324; GO:0042167	heme catabolic process [GO:0042167]	ferredoxin-NADP+ reductase activity [GO:0004324]; nucleotide binding [GO:0000166]	
Q9HYL2	NOSZ_PSEAE	nosZ PA3392	PA3392	Nitrous-oxide reductase (EC 1.7.2.4) (N(2)OR) (N2O reductase)	GO:0004129; GO:0005507; GO:0005509; GO:0016020; GO:0019333; GO:0042597; GO:0050304	denitrification pathway [GO:0019333]	calcium ion binding [GO:0005509]; copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]; nitrous-oxide reductase activity [GO:0050304]	membrane [GO:0016020]; periplasmic space [GO:0042597]
Q9HZA7	ACCD_PSEAE	accD PA3112	PA3112	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	GO:0003989; GO:0005524; GO:0006633; GO:0008270; GO:0009329; GO:0016743; GO:0017148; GO:2001295	fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]; negative regulation of translation [GO:0017148]	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743]; zinc ion binding [GO:0008270]	acetate CoA-transferase complex [GO:0009329]
Q9HZK1	MTIP_PSEAE	PA3004	PA3004	S-methyl-5'-thioinosine phosphorylase (EC 2.4.2.44) (5'-methylthioinosine phosphorylase) (MTI phosphorylase) (MTIP)	GO:0005829; GO:0006166; GO:0017061; GO:0019509	L-methionine salvage from methylthioadenosine [GO:0019509]; purine ribonucleoside salvage [GO:0006166]	S-methyl-5-thioadenosine phosphorylase activity [GO:0017061]	cytosol [GO:0005829]
Q9HZZ1	EARP_PSEAE	earP PA2852	PA2852	Protein-arginine rhamnosyltransferase (EC 2.4.1.-) (EF-P arginine rhamnosyltransferase)	GO:0106361		protein-arginine rhamnosyltransferase activity [GO:0106361]	
Q9I0N5	3MDO_PSEAE	PA2602	PA2602	3-mercaptopropionate dioxygenase (3MDO) (p3MDO) (EC 1.13.11.91)	GO:0005506; GO:0008198; GO:0016702		ferrous iron binding [GO:0008198]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]	
Q9I2E9	FAPB_PSEAE	fapB PA1955	PA1955	Functional amyloid subunit FapB (Fibril amyloid subunit FapB)	GO:0005576; GO:0007155; GO:0009289; GO:1990000	amyloid fibril formation [GO:1990000]; cell adhesion [GO:0007155]		extracellular region [GO:0005576]; pilus [GO:0009289]
Q9I2F1	FAPD_PSEAE	fapD PA1953	PA1953	Probable functional amyloid protease FapD (EC 3.4.22.-) (Probable fibril-associated protease FapD)	GO:0005524; GO:0006508; GO:0008234; GO:0016020; GO:0042597; GO:1990000	amyloid fibril formation [GO:1990000]; proteolysis [GO:0006508]	ATP binding [GO:0005524]; cysteine-type peptidase activity [GO:0008234]	membrane [GO:0016020]; periplasmic space [GO:0042597]
Q9I3S3	GBUA_PSEAE	gbuA PA1421	PA1421	Guanidinobutyrase (EC 3.5.3.7)	GO:0006527; GO:0008783; GO:0033389; GO:0046872; GO:0047971	L-arginine catabolic process [GO:0006527]; putrescine biosynthetic process from arginine, via agmatine [GO:0033389]	agmatinase activity [GO:0008783]; guanidinobutyrase activity [GO:0047971]; metal ion binding [GO:0046872]	
Q9I3W9	PDXB_PSEAE	pdxB PA1375	PA1375	Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)	GO:0005829; GO:0008615; GO:0033711; GO:0036001; GO:0046983; GO:0051287	'de novo' pyridoxal 5'-phosphate biosynthetic process [GO:0036001]; pyridoxine biosynthetic process [GO:0008615]	4-phosphoerythronate dehydrogenase activity [GO:0033711]; NAD binding [GO:0051287]; protein dimerization activity [GO:0046983]	cytosol [GO:0005829]
Q9I466	COBP_PSEAE	cobP PA1278	PA1278	Bifunctional adenosylcobalamin biosynthesis protein CobP (Adenosylcobinamide kinase) (EC 2.7.1.156) (Adenosylcobinamide-phosphate guanylyltransferase) (EC 2.7.7.62)	GO:0005524; GO:0005525; GO:0008820; GO:0009236; GO:0043752	cobalamin biosynthetic process [GO:0009236]	adenosylcobinamide kinase activity [GO:0043752]; ATP binding [GO:0005524]; cobinamide phosphate guanylyltransferase activity [GO:0008820]; GTP binding [GO:0005525]	
Q9I489	T3HPD_PSEAE	lhpL PA1255	PA1255	Bifunctional trans-3-hydroxy-L-proline dehydratase/2-epimerase (Bifunctional t3LHyp dehydratase/2-epimerase) (PaLhpL) (Trans-3-hydroxy-L-proline 2-epimerase) (T3LHyp 2-epimerase) (t3LHypE) (EC 5.1.1.-) (Trans-3-hydroxy-L-proline dehydratase) (T3LHyp dehydratase) (t3HypD) (EC 4.2.1.77) (Trans-L-3-hydroxyproline dehydratase)	GO:0047580; GO:0050346		4-hydroxyproline epimerase activity [GO:0047580]; trans-L-3-hydroxyproline dehydratase activity [GO:0050346]	
